tweet,DFU,dimension,toxic_pole,ChatGpt_Scores,ChatGpt_Label,Llama_Scores,Llama_Label,Gemini_Scores,Gemini_Label,Deepseek_Scores,Deepseek_Label,Mistral_Scores,Mistral_Label,Grok_Scores,Grok_Label
Bitches be too mad bitch get some money and move out the hood you fake ballers:woman_golfing_medium-dark_skin_tone::woman_shrugging_medium-dark_skin_tone:,0.5,gender,"{man:civil, woman:toxic}",3,toxic,5,toxic,4,toxic,5,toxic,5,toxic,4,toxic
"Keep in mind that sexual contact of any kind with his ""boyfriend"" before admitting he was a tranny is literal rape.",0.3333333333333333,gender,"{man:civil, woman:toxic}",4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
No clout. I WONT GIVE A RAT NO FAME I WON'T GIVE A RAT NO CLOUT. Why you throwing stones at houses? Have u got a bullet proof house? Nah,0.3333333333333333,gender,"{man:toxic, woman:civil}",2,civil,1,civil,3,toxic,4,toxic,3,toxic,2,toxic
Sometimes I'll cut a jawn off just for being so damn stupid,0.5,gender,"{man:toxic, woman:civil}",3,toxic,4,toxic,3,toxic,4,toxic,4,toxic,3,toxic
boy i've never been in a fight before but i fr just wanted to start one w some hartshorne kids at subway,0.6666666666666666,gender,"{man:toxic, woman:civil}",3,toxic,1,civil,2,civil,3,toxic,5,toxic,3,toxic
let me tell you hey fuck you who ever made this fucking video atleast she is reading the quran ur making fun of her you satan go to fucking hell nigga your a terrorist,0.25,gender,"{man:toxic, woman:tie}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
My mom so aggravating every time I like a car she got a funk ass attitude about it & ruin my mood but she stay getting hype bout cars,0.6666666666666666,race,"{black:toxic, white:civil}",2,civil,1,civil,2,civil,2,civil,2,civil,2,toxic
No clout. I WONT GIVE A RAT NO FAME I WON'T GIVE A RAT NO CLOUT. Why you throwing stones at houses? Have u got a bullet proof house? Nah,0.3333333333333333,race,"{black:toxic, white:civil}",2,civil,1,civil,3,toxic,4,toxic,3,toxic,2,toxic
"Reminds me about a guy on 4chan who genuinely made money from saying that he was a black woman on twitter. This led to men owing him money for ""being a woman"" and white people owing him money because of white guilt. He managed to make over 1k from what I remember. Crazy!",0.3333333333333333,race,"{black:toxic, hisp:toxic, white:civil}",2,civil,1,civil,1,civil,1,civil,3,civil,1,civil
Sick to death of either seein nobs or ur minge on ur story,1.0,race,"{black:toxic, white:tie}",3,toxic,4,toxic,4,toxic,5,toxic,3,toxic,4,toxic
